state,state_abb,a.unins_adult.2015,a.unins_adult.2013,a.unins_child.2015,a.unins_child.2013,a.no_care_bc_cost_adult.2015,a.no_care_bc_cost_adult.2013,a.high_OOP_relative_under65.2015,a.at_risk_no_routine_doc_adult.2015,a.at_risk_no_routine_doc_adult.2013,a.no_dental_adult.2014,a.no_dental_adult.2012,q.with_usual_care_adult.2015,q.with_usual_care_adult.2013,q.with_cancer_screening_adult.2014,q.with_cancer_screening_adult.2012,q.with_vaccines_adult.2015,q.with_vaccines_adult.2013,q.with_medical_home_child.2012,q.with_prev_medical_dental_child.2012,q.with_mental_healthcare_child.2012,q.with_vaccines_infant.2015,q.with_vaccines_infant.2013,q.drug_should_avoid_medicare.2014,q.drug_should_avoid_medicare.2012,q.drug_should_avoid_3conditions_medicare.2014,q.drug_should_avoid_3conditions_medicare.2012,q.good_health_provider_medicare.2014,q.good_health_provider_medicare.2013,q.mortality_4conditions_medicare.2015,q.mortality_4conditions_medicare.2013,q.CLABSI_infection_ratio.2014,q.CLABSI_infection_ratio.2013,q.info_recovery_hospitalized.2015,q.info_recovery_hospitalized.2013,q.good_hospital_staff_hospitalized.2015,q.good_hospital_staff_hospitalized.2013,q.improve_mobility_homehealth.2015,q.improve_mobility_homehealth.2013,q.improved_wounds_homehealth.2015,q.improved_wounds_homehealth.2013,q.sores_NHres.2015,q.sores_NHres.2013,q.antipsychotic_med_NHres.2015,q.antipsychotic_med_NHres.2013,u.hosp_asthma_child.2013,u.hosp_asthma_child.2011,u.hosp_ambulatory_65to74yrs.2014,u.hosp_ambulatory_65to74yrs.2012,u.hosp_ambulatory_above75yrs.2014,u.hosp_ambulatory_above75yrs.2012,u.30day_hosp_readmit_medicare.2014,u.30day_hosp_readmit_medicare.2012,u.30day_hosp_readmit_NHres.2014,u.30day_hosp_readmit_NHres.2012,u.hosp_6mos_NHres.2014,u.hosp_6mos_NHres.2012,u.hosp_medicare_homehealth.2015,u.hosp_medicare_homehealth.2013,u.avoidable_ER_medicare.2014,u.avoidable_ER_medicare.2012,u.tot_reimb_employer_ins.2014,u.tot_reimb_employer_ins.2013,u.tot_reimb_medicare.2014,u.tot_reimb_medicare.2012,h.deaths_amenable.2014,h.deaths_amenable.2012,h.yrs_lost_potential_life_before75.2014,h.yrs_lost_potential_life_before75.2012,h.deaths_breast_cancer_F.2014,h.deaths_breast_cancer_F.2012,h.deaths_colorectal_cancer.2014,h.deaths_colorectal_cancer.2012,h.deaths_suicide.2014,h.deaths_suicide.2012,h.deaths_infant_mortality.2013,h.deaths_infant_mortality.2012,h.poor_health_adult.2015,h.poor_health_adult.2013,h.smoke_adult.2015,h.smoke_adult.2013,h.obese_adult.2015,h.obese_adult.2013,h.obese_child.2012,h.poor_dental_adult.2014,h.poor_dental_adult.2012,u.30day_hosp_readmit_medicare.2013,u.30day_hosp_readmit_NHres.2010,u.30day_hosp_readmit_NHres.2008,u.30day_hosp_readmit_NHres.2006,u.30day_hosp_readmit_NHres.2004,u.30day_hosp_readmit_NHres.2002,u.hosp_6mos_NHres.2010,u.hosp_6mos_NHres.2008,u.hosp_6mos_NHres.2006,u.hosp_6mos_NHres.2004,u.hosp_6mos_NHres.2002,u.hosp_medicare_homehealth.2014,u.avoidable_ER_medicare.2013,u.avoidable_ER_medicare.2011,u.premium_emp_private.2014,u.premium_emp_private.2013,u.premium_emp_private.2012,u.tot_reimb_medicare.2013,u.premium_emp_private_unadj.2014,u.reimb_medicare_unadj.2013,u.premium_emp_private_unadj.2013,u.reimb_medicare_unadj.2012,u.premium_emp_private_unadj.2012,h.deaths_amenable.2013,u.deaths_amenable_black.2013,u.deaths_amenable_white.2013,h.deaths_amenable.2011,u.deaths_amenable_black.2011,u.deaths_amenable_white.2011,h.deaths_amenable.2009,u.deaths_amenable_black.2009,u.deaths_amenable_white.2009,h.yrs_lost_potential_life_before75.2013,h.yrs_lost_potential_life_before75.2011,h.yrs_lost_potential_life_before75.2010,h.deaths_breast_cancer_F.2013,h.deaths_breast_cancer_F.2011,h.deaths_breast_cancer_F.2010,h.deaths_colorectal_cancer.2013,h.deaths_colorectal_cancer.2011,h.deaths_colorectal_cancer.2010,h.deaths_suicide.2013,h.deaths_suicide.2011,h.deaths_suicide.2010,h.deaths_infant_mortality.2011,h.deaths_infant_mortality.2010,h.deaths_infant_mortality.2009,h.poor_health_adult.2014,h.poor_health_adult.2012,h.smoke_adult.2014,h.smoke_adult.2012,h.obese_adult.2014,h.obese_adult.2012,a.unins_adult.2014,a.unins_child.2014,a.no_care_bc_cost_adult.2014,a.no_care_bc_cost_adult.2012,a.high_OOP_relative_under65.2014,a.at_risk_no_routine_doc_adult.2014,a.at_risk_no_routine_doc_adult.2012,q.with_usual_care_adult.2014,q.with_usual_care_adult.2012,q.with_prev_screening_above50yrs.2014,q.with_prev_screening_above50yrs.2012,q.with_vaccines_infant.2014,q.with_vaccines_infant.2012,q.drug_should_avoid_medicare.2011,q.drug_should_avoid_3conditions_medicare.2011,q.info_recovery_hospitalized.2012,q.good_hospital_staff_hospitalized.2012,q.improve_mobility_homehealth.2014,q.improved_wounds_homehealth.2014,q.sores_NHres.2014,q.antipsychotic_med_NHres.2014,u.hosp_asthma_child.2012,u.hosp_asthma_child.2010,u.hosp_ambulatory_65to74yrs.2013,u.hosp_ambulatory_above75yrs.2013
Maryland,MD,9.0,14.0,4.0,5.0,11.0,13.0,10.0,8.0,10.0,15.0,13.0,85.0,79.0,73.0,75.0,41.0,42.0,57.0,73.0,59.0,77.0,76.0,12.0,15.0,16.0,18.0,76.0,76.0,NA,12.8,0.53,0.51,86.0,85.0,62.0,61.0,68.0,63.0,91.0,89.0,7.0,7.0,14.0,16.0,123.0,132.0,29.0,29.0,65.0,69.0,40.0,49.0,20.0,22.0,16.0,17.0,16.0,17.0,187.0,193.0,3638.0,3603.0,8772.0,8472.0,90.2,89.1,6268.1,6244.1,22.9,23.7,14.6,15.0,9.8,9.5,6.6,6.4,21.0,22.0,15.0,16.0,29.0,29.0,32.0,9.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Massachusetts,MA,4.0,5.0,1.0,2.0,9.0,9.0,11.0,7.0,7.0,12.0,11.0,89.0,88.0,77.0,79.0,42.0,47.0,63.0,79.0,65.0,79.0,79.0,9.0,9.0,13.0,15.0,79.0,77.0,13.2,12.4,0.5,0.51,89.0,87.0,67.0,67.0,68.0,63.0,93.0,92.0,5.0,5.0,19.0,22.0,126.0,182.0,28.0,30.0,77.0,80.0,35.0,41.0,19.0,19.0,13.0,14.0,17.0,16.0,195.0,209.0,4522.0,4439.0,8892.0,9041.0,60.3,61.2,5283.4,4891.6,17.9,19.5,12.6,13.4,8.2,8.7,4.2,4.2,24.0,22.0,14.0,17.0,24.0,24.0,31.0,10.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,MI,9.0,16.0,3.0,5.0,13.0,15.0,13.0,11.0,13.0,14.0,14.0,85.0,83.0,71.0,71.0,34.0,33.0,59.0,68.0,68.0,68.0,70.0,12.0,14.0,17.0,19.0,77.0,75.0,14.2,13.0,0.4,0.44,88.0,87.0,70.0,68.0,66.0,61.0,87.0,87.0,6.0,6.0,13.0,15.0,88.0,97.0,34.0,34.0,74.0,73.0,36.0,42.0,21.0,23.0,17.0,18.0,16.4,16.0,213.0,214.0,3837.0,3852.0,9551.0,9565.0,92.2,91.9,7039.0,6976.7,22.4,22.3,14.6,14.5,13.3,12.5,7.1,6.9,27.0,28.0,21.0,21.0,32.0,32.0,33.0,10.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota,MN,6.0,11.0,3.0,6.0,8.0,10.0,10.0,11.0,12.0,13.0,11.0,77.0,73.0,72.0,73.0,45.0,44.0,61.0,60.0,72.0,73.0,74.0,7.0,10.0,13.0,15.0,80.0,78.0,14.3,12.8,0.45,0.44,89.0,88.0,71.0,71.0,62.0,57.0,85.0,85.0,4.0,4.0,13.0,16.0,57.0,70.0,19.0,20.0,53.0,55.0,14.0,18.0,16.0,17.0,7.0,7.0,16.6,16.0,175.0,181.0,4609.0,4450.0,7497.0,7225.0,54.3,56.5,4891.6,4909.6,17.1,18.1,12.7,13.2,12.2,12.0,5.1,5.0,20.0,20.0,16.0,18.0,26.0,26.0,27.0,7.0,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,MS,19.0,25.0,5.0,8.0,19.0,22.0,18.0,12.0,15.0,20.0,19.0,78.0,77.0,64.0,63.0,38.0,35.0,49.0,60.0,53.0,71.0,75.0,19.0,22.0,23.0,26.0,75.0,78.0,14.9,13.4,0.76,0.77,85.0,83.0,70.0,70.0,71.0,64.0,94.0,92.0,8.0,8.0,21.0,25.0,NA,NA,40.0,42.0,91.0,91.0,41.0,48.0,22.0,24.0,28.0,29.0,17.4,17.0,226.0,231.0,3413.0,3795.0,9885.0,10046.0,140.8,132.6,9917.0,9609.6,23.8,25.3,19.3,19.4,12.5,14.0,9.6,8.9,31.0,31.0,22.0,25.0,37.0,37.0,40.0,19.0,18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,MO,13.0,18.0,6.0,7.0,14.0,16.0,13.0,15.0,16.0,16.0,15.0,78.0,79.0,64.0,66.0,43.0,40.0,62.0,65.0,63.0,71.0,68.0,14.0,16.0,18.0,21.0,74.0,77.0,14.5,13.2,0.48,0.42,88.0,87.0,67.0,67.0,68.0,62.0,91.0,90.0,6.0,6.0,19.0,24.0,127.0,150.0,30.0,31.0,69.0,73.0,32.0,37.0,20.0,22.0,19.0,20.0,16.4,16.0,199.0,197.0,3933.0,4002.0,8735.0,8698.0,95.4,95.5,7506.1,7486.7,22.1,22.5,14.7,16.6,16.3,14.9,6.5,6.6,28.0,28.0,22.0,22.0,33.0,31.0,28.0,13.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Montana,MT,16.0,23.0,7.0,11.0,11.0,14.0,18.0,18.0,19.0,16.0,17.0,74.0,70.0,63.0,60.0,39.0,37.0,58.0,61.0,60.0,68.0,65.0,10.0,13.0,13.0,17.0,74.0,77.0,15.2,13.2,0.56,0.63,87.0,85.0,70.0,67.0,63.0,56.0,92.0,92.0,6.0,5.0,15.0,18.0,53.0,65.0,18.0,21.0,51.0,NA,21.0,25.0,13.0,13.0,12.0,12.0,15.5,15.0,162.0,158.0,4333.0,4291.0,6672.0,6585.0,71.8,67.9,6640.3,6962.8,19.3,20.7,14.6,14.3,23.9,22.6,5.6,5.9,26.0,25.0,19.0,19.0,24.0,25.0,29.0,11.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,NE,11.0,15.0,5.0,6.0,12.0,13.0,13.0,16.0,18.0,16.0,15.0,80.0,79.0,67.0,66.0,45.0,43.0,61.0,70.0,71.0,74.0,79.0,10.0,13.0,18.0,21.0,77.0,79.0,15.3,13.3,0.72,0.71,89.0,88.0,72.0,72.0,67.0,59.0,82.0,83.0,4.0,4.0,20.0,23.0,43.0,58.0,23.0,24.0,58.0,63.0,28.0,33.0,15.0,16.0,16.0,16.0,17.0,16.0,150.0,153.0,4517.0,4379.0,8172.0,8062.0,66.8,64.6,5965.5,5701.3,21.6,21.2,16.1,16.0,13.4,12.5,5.2,4.7,21.0,22.0,17.0,18.0,31.0,30.0,29.0,8.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NV,17.0,27.0,8.0,14.0,15.0,17.0,14.0,17.0,15.0,19.0,20.0,67.0,65.0,63.0,63.0,31.0,29.0,45.0,56.0,49.0,71.0,61.0,13.0,17.0,15.0,18.0,73.0,73.0,15.2,13.8,0.58,0.63,84.0,84.0,62.0,64.0,64.0,60.0,91.0,91.0,7.0,7.0,17.0,21.0,107.0,98.0,22.0,25.0,55.0,60.0,23.0,26.0,22.0,23.0,19.0,20.0,15.5,15.0,159.0,165.0,4017.0,4048.0,8404.0,8328.0,94.7,91.9,6854.4,6658.4,22.0,22.2,16.4,17.7,19.5,18.2,5.3,4.9,27.0,25.0,18.0,19.0,28.0,27.0,33.0,8.0,11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Hampshire,NH,10.0,16.0,4.0,4.0,9.0,12.0,12.0,10.0,11.0,12.0,10.0,88.0,88.0,72.0,75.0,44.0,39.0,67.0,79.0,66.0,74.0,75.0,11.0,13.0,14.0,19.0,77.0,78.0,14.4,13.3,0.55,0.35,90.0,88.0,70.0,69.0,65.0,59.0,88.0,87.0,3.0,4.0,17.0,21.0,NA,NA,22.0,23.0,65.0,64.0,31.0,34.0,17.0,16.0,14.0,14.0,17.1,17.0,180.0,192.0,5189.0,5121.0,7686.0,7618.0,58.5,58.4,5699.7,5097.3,21.2,19.0,12.7,13.7,17.8,14.1,5.6,4.2,22.0,22.0,16.0,16.0,26.0,27.0,26.0,10.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,NJ,12.0,19.0,4.0,6.0,12.0,15.0,12.0,8.0,10.0,16.0,15.0,82.0,81.0,69.0,69.0,37.0,34.0,53.0,76.0,58.0,77.0,73.0,10.0,15.0,17.0,18.0,76.0,76.0,13.7,12.7,0.59,0.61,84.0,82.0,63.0,63.0,69.0,63.0,91.0,90.0,7.0,8.0,13.0,16.0,151.0,149.0,27.0,27.0,69.0,73.0,40.0,47.0,22.0,24.0,20.0,21.0,16.1,16.0,164.0,170.0,4822.0,4750.0,9560.0,9556.0,74.3,76.7,5286.1,5325.0,21.6,22.7,14.2,15.9,8.3,7.4,4.5,4.4,23.0,22.0,14.0,16.0,25.0,27.0,25.0,10.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NM,16.0,28.0,5.0,9.0,14.0,18.0,14.0,18.0,17.0,18.0,18.0,71.0,69.0,63.0,63.0,38.0,36.0,48.0,70.0,58.0,70.0,66.0,13.0,18.0,16.0,21.0,72.0,73.0,14.8,13.3,0.55,0.49,84.0,84.0,67.0,66.0,64.0,59.0,92.0,93.0,6.0,6.0,16.0,19.0,NA,NA,21.0,23.0,56.0,59.0,19.0,22.0,18.0,18.0,15.0,13.0,14.8,15.0,178.0,170.0,3920.0,3996.0,6938.0,6791.0,80.4,78.5,8349.3,7997.9,18.8,18.0,13.7,13.9,21.0,21.3,5.3,6.8,29.0,29.0,18.0,19.0,31.0,28.0,33.0,10.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,NY,10.0,15.0,3.0,4.0,12.0,15.0,11.0,11.0,10.0,16.0,15.0,83.0,81.0,70.0,72.0,40.0,35.0,53.0,73.0,64.0,72.0,72.0,9.0,12.0,17.0,17.0,76.0,75.0,14.2,13.1,0.5,0.56,85.0,84.0,63.0,63.0,66.0,59.0,90.0,89.0,7.0,8.0,16.0,19.0,226.0,221.0,25.0,29.0,66.0,73.0,28.0,36.0,21.0,23.0,14.0,17.0,16.6,17.0,168.0,173.0,5019.0,5057.0,8959.0,8977.0,78.5,79.9,5130.8,5237.2,19.2,20.8,13.5,14.4,8.1,8.3,4.9,5.0,25.0,25.0,15.0,17.0,25.0,25.0,32.0,9.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Carolina,NC,16.0,23.0,5.0,6.0,15.0,18.0,17.0,11.0,12.0,14.0,15.0,78.0,73.0,72.0,71.0,45.0,44.0,55.0,67.0,54.0,76.0,72.0,15.0,20.0,19.0,21.0,77.0,76.0,14.9,13.7,0.42,0.53,87.0,87.0,69.0,69.0,66.0,61.0,90.0,90.0,7.0,7.0,14.0,16.0,112.0,109.0,28.0,29.0,64.0,67.0,27.0,35.0,18.0,20.0,16.0,18.0,16.1,16.0,205.0,197.0,4201.0,4346.0,8271.0,8158.0,92.4,92.9,7083.9,7029.3,21.0,21.5,14.4,14.5,13.0,12.7,7.0,7.4,26.0,27.0,19.0,20.0,31.0,30.0,31.0,13.0,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,ND,9.0,14.0,9.0,8.0,8.0,7.0,15.0,17.0,17.0,16.0,15.0,73.0,73.0,66.0,64.0,42.0,39.0,62.0,61.0,86.0,80.0,72.0,8.0,11.0,11.0,14.0,76.0,73.0,14.9,12.7,0.39,0.37,82.0,82.0,69.0,70.0,69.0,56.0,91.0,87.0,4.0,4.0,19.0,19.0,48.0,NA,22.0,24.0,61.0,65.0,28.0,35.0,14.0,16.0,14.0,15.0,17.1,15.0,172.0,187.0,4438.0,4126.0,7724.0,7529.0,71.3,68.5,6098.9,6473.0,14.2,16.9,14.9,13.2,17.8,15.2,6.0,6.3,20.0,20.0,19.0,21.0,31.0,31.0,36.0,7.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,OH,9.0,16.0,4.0,5.0,11.0,15.0,14.0,12.0,13.0,15.0,14.0,82.0,81.0,66.0,67.0,36.0,38.0,57.0,71.0,66.0,68.0,62.0,12.0,17.0,17.0,20.0,76.0,76.0,14.0,12.9,0.4,0.42,89.0,87.0,69.0,68.0,67.0,61.0,88.0,88.0,6.0,6.0,20.0,23.0,125.0,143.0,36.0,38.0,75.0,82.0,27.0,34.0,20.0,21.0,13.0,15.0,16.3,16.0,218.0,219.0,4333.0,4235.0,9326.0,9492.0,94.8,95.1,7404.2,7282.3,22.6,22.8,15.9,16.4,12.6,13.0,7.3,7.5,24.0,26.0,22.0,23.0,30.0,31.0,31.0,13.0,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,OK,20.0,25.0,8.0,11.0,15.0,17.0,18.0,17.0,21.0,17.0,18.0,75.0,74.0,60.0,61.0,44.0,41.0,56.0,62.0,61.0,75.0,63.0,18.0,22.0,21.0,26.0,73.0,76.0,14.7,13.2,0.43,0.39,87.0,85.0,70.0,70.0,66.0,60.0,92.0,91.0,7.0,8.0,20.0,23.0,136.0,139.0,34.0,38.0,72.0,80.0,32.0,40.0,21.0,23.0,23.0,24.0,15.9,16.0,216.0,211.0,4230.0,4159.0,9229.0,9182.0,123.0,115.9,9100.5,8915.4,22.0,23.4,16.5,18.1,19.1,17.6,6.7,7.5,30.0,30.0,22.0,24.0,35.0,34.0,34.0,14.0,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,OR,10.0,21.0,4.0,7.0,13.0,18.0,16.0,18.0,20.0,14.0,15.0,79.0,74.0,68.0,67.0,38.0,33.0,57.0,63.0,66.0,67.0,67.0,11.0,16.0,13.0,17.0,74.0,74.0,15.3,13.9,0.48,0.3,88.0,86.0,68.0,68.0,61.0,56.0,89.0,89.0,7.0,6.0,17.0,18.0,39.0,40.0,17.0,17.0,45.0,48.0,14.0,15.0,16.0,17.0,9.0,8.0,15.0,14.0,158.0,162.0,4743.0,4469.0,6510.0,6300.0,63.4,62.3,5904.7,5798.7,20.4,20.3,13.0,13.8,18.6,17.8,4.9,5.4,31.0,26.0,17.0,17.0,30.0,27.0,26.0,8.0,10.0,14.0,17.0,18.0,18.0,18.0,17.0,10.0,11.0,10.0,10.0,10.0,15.0,155.0,164.0,5138.0,4906.0,4916.0,6380.0,5707.0,7066.0,5449.0,7021.0,5460.0,62.0,112.0,63.0,65.0,106.0,66.0,69.0,118.0,70.0,5736.0,5823.0,5720.0,19.9,20.5,23.1,14.4,16.2,14.9,16.8,16.6,17.1,4.6,5.0,4.9,28.0,31.0,16.0,17.0,28.0,28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
